#NAME	CHROM	STRAND	TX_START	TX_END	EXON_START	EXON_END
OR4F5	1	+	69090	70008	69090,	70008,
IMPA2	18	+	11981426	12030882	11981426,11999052,12009881,12012168,12014263,12028041,12028840,12030341,	11981764,11999186,12009986,12012214,12014372,12028150,12028992,12030882,
ANKRD62	18	+	12093851	12127938	12093851,12095169,12095435,12096194,12097638,12099613,12103156,12107293,12115086,12115391,12122301,12124135,12125458,12127746,	12094234,12095284,12095609,12096301,12097776,12099681,12103227,12107466,12115120,12115533,12122515,12124319,12126382,12127938,
CIDEA	18	+	12254317	12277372	12254317,12262823,12264305,12274091,12277121,	12254420,12262968,12264452,12274273,12277372,
TUBB6	18	+	12308057	12326618	12308057,12308685,12310941,12325065,	12308348,12308794,12311052,12326618,
AFG3L2	18	-	12328942	12377313	12328942,12337339,12340199,12344130,12348271,12351083,12351304,12353003,12356692,12358668,12359925,12363780,12366963,12367274,12370847,12371590,12376967,	12329782,12337534,12340400,12344246,12348382,12351209,12351412,12353157,12356830,12358942,12360050,12363855,12367116,12367381,12370925,12371690,12377313,
PRELID3A	18	+	12407894	12432232	12407894,12420323,12421538,12427039,12427219,12429348,12431148,	12408006,12420492,12421628,12427110,12427322,12429435,12432232,
SPIRE1	18	-	12446511	12658044	12446511,12452253,12452483,12453066,12454344,12463349,12464866,12479697,12493070,12496014,12506475,12512452,12535474,12546672,12635060,12657528,	12449895,12452390,12452511,12453137,12454482,12463492,12464957,12479870,12493200,12496101,12506640,12512530,12535600,12546903,12635095,12658044,
CEP76	18	-	12672630	12702773	12672630,12674534,12678107,12680660,12686260,12691357,12695252,12697221,12698977,12699828,12700956,12702484,	12673502,12674752,12678441,12680827,12686449,12691486,12695350,12697407,12699202,12699904,12701112,12702773,
PSMG2	18	+	12702424	12725739	12702424,12706548,12712700,12718515,12720508,12724497,12725437,	12703163,12706720,12712759,12718634,12720682,12724618,12725739,
PTPN2	18	-	12792151	12884234	12792151,12801968,12814201,12817154,12825808,12830941,12836789,12859162,12884071,	12794484,12802150,12814354,12817364,12825943,12831040,12836890,12859253,12884234,
SEH1L	18	+	12947993	12987535	12947993,12951853,12955461,12963158,12971151,12978750,12982516,12984038,12985238,	12948231,12951904,12955608,12963370,12971250,12978891,12982674,12984189,12987535,
CEP192	18	+	12991360	13125035	12991360,12999419,13001455,13008454,13012971,13015326,13017186,13018478,13019080,13029661,13030463,13037235,13038368,13040828,13042202,13048857,13049763,13052917,13055778,13057583,13059080,13067829,13068092,13068357,13068850,13069087,13069736,13071037,13072753,13073007,13087015,13087529,13089454,13092375,13095501,13096182,13099474,13100303,13103507,13104982,13113584,13114128,13116375,13117583,13124630,	12991436,12999587,13001581,13008630,13013024,13015447,13017335,13018614,13019205,13030001,13030607,13037300,13038578,13040955,13042333,13049680,13049890,13053089,13056697,13057732,13059311,13067955,13068236,13068421,13068990,13069180,13069855,13071211,13072844,13073184,13087276,13087645,13089564,13092526,13095680,13096306,13099580,13100511,13103587,13105078,13113704,13114250,13116502,13117642,13125035,
LDLRAD4	18	+	13278101	13652753	13278101,13387339,13438242,13621115,13643357,13645125,	13278187,13387761,13438383,13621270,13643411,13652753,
FAM210A	18	-	13663345	13726559	13663345,13671860,13681603,13697545,13726327,	13666712,13671972,13682104,13697673,13726559,
RNMT	18	+	13726659	13764557	13726659,13730625,13731474,13734462,13737008,13740165,13741508,13742486,13746218,13752324,13754112,13759940,	13726728,13730754,13731933,13734598,13737134,13740278,13741690,13742651,13746336,13752426,13754146,13764557,
MC5R	18	+	13825542	13826742	13825542,	13826742,
MC2R	18	-	13882042	13915539	13882042,13915486,	13885645,13915539,
ZNF519	18	-	14103861	14132429	14103861,14124348,14132273,	14106408,14124475,14132429,
POTEC	18	-	14511896	14543145	14511896,14513660,14522252,14523461,14524911,14530481,14533059,14534899,14537799,14538133,14542624,	14511992,14513784,14522419,14523506,14524982,14530552,14533197,14535006,14537973,14538248,14543145,
ANKRD30B	18	+	14748238	14852479	14748238,14752564,14752837,14754897,14757813,14760552,14763684,14769341,14772154,14777983,14779958,14782525,14784334,14784461,14787037,14791399,14796219,14796341,14797659,14797780,14799099,14799221,14802215,14803732,14808549,14822603,14828276,14831381,14837209,14837613,14840586,14842895,14843022,14848714,14850212,14851507,	14748639,14752679,14753011,14755004,14757951,14760617,14764089,14769372,14772227,14778074,14780020,14782613,14784363,14784534,14787099,14791490,14796248,14796414,14797688,14797853,14799128,14799294,14802277,14803823,14808578,14822676,14828307,14831454,14837288,14837675,14840677,14842924,14843095,14848928,14850381,14852479,
ROCK1	18	-	18526866	18691812	18526866,18533538,18534743,18535127,18539800,18540096,18546877,18547712,18548732,18549075,18550308,18559870,18562723,18564311,18566910,18571136,18572791,18586311,18586659,18588019,18595391,18600111,18603580,18608736,18619432,18622057,18622525,18624062,18625252,18629052,18629740,18650492,18690778,	18531348,18533746,18535005,18535206,18539889,18540167,18547037,18547901,18548821,18549169,18550474,18559965,18562793,18564496,18567071,18571287,18572898,18586558,18586751,18588155,18595440,18600200,18603641,18608896,18619524,18622196,18622670,18624147,18625428,18629190,18629841,18650574,18691812,
GREB1L	18	+	18822202	19102791	18822202,18945987,18963470,18964166,18975345,18981110,18983832,19019481,19020229,19021360,19024184,19029470,19030983,19032043,19034326,19052991,19057124,19065580,19069972,19075630,19076414,19079689,19080500,19085372,19085770,19088078,19088347,19093781,19095377,19096573,19097994,19100648,19102618,	18822354,18946097,18963636,18964364,18975522,18981287,18983955,19019598,19020349,19021498,19024370,19029797,19031112,19032178,19034524,19053172,19057317,19065714,19070312,19075746,19076659,19080267,19080603,19085528,19085910,19088240,19088552,19093947,19095605,19096715,19098195,19100784,19102791,
ESCO1	18	-	19109241	19180697	19109241,19112433,19116002,19119880,19140819,19144163,19146106,19147940,19153274,19155632,19164270,19180583,	19110451,19112621,19116146,19119970,19140951,19144278,19146167,19148055,19155391,19155738,19164401,19180697,
SNRPD1	18	+	19192227	19213485	19192227,19202685,19203708,19209022,	19192404,19202762,19203900,19213485,
ABHD3	18	-	19230857	19284766	19230857,19236821,19237064,19239130,19244078,19263880,19282276,19283544,19284464,	19231724,19236987,19237113,19239304,19244191,19263926,19282459,19283708,19284766,
MIB1	18	+	19321280	19450918	19321280,19345732,19348583,19353584,19358063,19359441,19371334,19378044,19379801,19383867,19395576,19399455,19418325,19423091,19424052,19426904,19429156,19433100,19437090,19438506,19444486,	19321773,19345904,19348713,19353689,19358130,19359646,19371518,19378189,19379935,19383975,19395774,19399607,19418458,19423178,19424214,19427086,19429349,19433179,19437204,19438607,19450918,
GATA6	18	+	19749403	19782491	19749403,19751068,19756915,19761413,19762717,19762900,19780618,	19749643,19752240,19757082,19761539,19762805,19763004,19782491,
CTAGE1	18	-	19993565	19997878	19993565,	19997878,
RBBP8	18	+	20513277	20606449	20513277,20516716,20526406,20529580,20548768,20555115,20562180,20564848,20569183,20570899,20572710,20573683,20576336,20577582,20581548,20586325,20596790,20602091,20606105,	20513527,20516923,20526449,20529676,20548881,20555182,20562356,20564953,20569281,20571012,20573602,20573810,20576425,20577697,20581692,20586395,20596887,20602233,20606449,
CABLES1	18	+	20715726	20840431	20715726,20768801,20774411,20793940,20814571,20815858,20817105,20832923,20833692,20837190,	20716571,20768873,20774504,20794018,20814668,20816015,20817209,20833030,20833900,20840431,
TMEM241	18	-	20875980	21017869	20875980,20889643,20932159,20936557,20945597,20948678,20950179,20951385,20953675,20957609,20964953,20979529,21001330,21010594,21017744,	20878031,20889708,20932253,20936627,20945632,20948714,20950225,20951434,20953727,20957635,20965031,20979611,21001408,21010641,21017869,
RIOK3	18	+	21032786	21063104	21032786,21042927,21043930,21044169,21044482,21046096,21047362,21053392,21054911,21056969,21057142,21059280,21061135,	21033466,21043043,21044076,21044277,21044592,21046240,21047490,21053590,21055071,21057050,21057232,21059388,21063104,
C18orf8	18	+	21083472	21111746	21083472,21084334,21086933,21087948,21089156,21095819,21096283,21098853,21099032,21100165,21104093,21104392,21106600,21107758,21109142,21109598,21109991,21110192,21110350,21111588,	21083684,21084411,21087018,21088005,21089243,21095960,21096387,21098943,21099138,21100277,21104138,21104446,21106729,21107865,21109262,21109676,21110096,21110261,21110576,21111746,
NPC1	18	-	21111400	21166862	21111400,21113318,21114409,21115432,21116636,21118505,21119318,21119774,21120411,21121031,21121269,21123418,21124307,21124923,21127969,21131590,21134721,21136206,21137080,21140194,21141323,21148786,21152037,21153415,21166250,	21112248,21113481,21114523,21115664,21116840,21118635,21119434,21119965,21120501,21121172,21121397,21123533,21124490,21125113,21128072,21131691,21134948,21136577,21137154,21140444,21141491,21148962,21152144,21153538,21166862,
ANKRD29	18	-	21178889	21242849	21178889,21192055,21197695,21199494,21209816,21214014,21218812,21226152,21229046,21242673,	21181273,21192154,21197791,21199593,21209915,21214113,21218911,21226251,21229157,21242849,
LAMA3	18	+	21269406	21535030	21269406,21293883,21327906,21329391,21330881,21333684,21338359,21343368,21353460,21355755,21357520,21363986,21390329,21393020,21394366,21395151,21395431,21396351,21399804,21402215,21404386,21406665,21407277,21413791,21416944,21418744,21419748,21422358,21422574,21424972,21426260,21427427,21437807,21438652,21441609,21444748,21447797,21451394,21456257,21461899,21464736,21469974,21474261,21474870,21478701,21478917,21479251,21481090,21482972,21483896,21484516,21485485,21487513,21487719,21489116,21492674,21494373,21494661,21495252,21496514,21500898,21501415,21508086,21508588,21511025,21512123,21513745,21519186,21523751,21526107,21529728,21529992,21531647,21532953,21534466,	21269941,21294036,21328024,21329510,21331052,21333776,21338475,21343487,21353551,21355887,21357583,21364121,21390467,21393067,21394466,21395204,21395537,21396451,21399961,21402339,21404529,21406763,21407431,21413952,21417053,21418842,21419893,21422485,21422714,21425088,21426472,21427632,21437952,21438793,21441771,21444847,21447881,21451625,21456371,21462009,21464817,21470081,21474312,21475022,21478812,21479029,21479419,21481287,21483089,21484051,21484658,21485588,21487630,21487899,21489259,21492845,21494525,21494824,21495386,21496659,21501018,21501549,21508204,21508729,21511165,21512255,21513899,21519350,21523935,21526248,21529888,21530123,21531741,21533073,21535030,
TTC39C	18	+	21572736	21712991	21572736,21644103,21645975,21649120,21660548,21662876,21694517,21698088,21703797,21705390,21708849,21710276,21711845,21712448,	21573002,21644152,21646104,21649235,21660903,21663045,21694611,21698196,21703907,21705514,21708947,21710381,21711884,21712991,
CABYR	18	+	21719021	21741564	21719021,21723054,21723323,21735664,21739909,21741479,	21719082,21723223,21723377,21736963,21740033,21741564,
OSBPL1A	18	-	21742007	21977823	21742007,21745028,21746542,21747292,21750290,21751372,21752339,21757976,21759701,21761108,21776088,21805005,21819183,21860805,21883600,21891947,21894212,21897112,21897290,21898564,21898711,21912905,21914208,21921510,21946855,21948250,21957376,21977618,	21743245,21745119,21746666,21747409,21750417,21751462,21752447,21758159,21759799,21761243,21776164,21805162,21819346,21860912,21883682,21892070,21894311,21897176,21897364,21898609,21898773,21913050,21914294,21921622,21946930,21948336,21957499,21977823,
IMPACT	18	+	22006579	22033499	22006579,22007882,22008832,22010285,22017918,22020459,22023012,22025356,22028056,22029782,22030742,	22006756,22008011,22008885,22010348,22018004,22020582,22023116,22025430,22028147,22029917,22033499,
HRH4	18	+	22040592	22059921	22040592,22048751,22056710,	22040885,22048915,22059921,
ZNF521	18	-	22641889	22932116	22641889,22669428,22671913,22775123,22804308,22901971,22930870,22931968,	22642705,22669544,22672045,22775208,22807661,22902151,22930911,22932116,
SS18	18	-	23596216	23670589	23596216,23612362,23614968,23615794,23618518,23619252,23632587,23637552,23658039,23667464,23670464,	23598344,23612496,23615091,23615887,23618623,23619420,23632809,23637706,23658124,23667541,23670589,
PSMA8	18	+	23713840	23773319	23713840,23724522,23731803,23738085,23758793,23759031,23772282,	23714031,23724649,23731946,23738208,23758913,23759094,23773319,
TAF4B	18	+	23805899	23971649	23805899,23845133,23847479,23854626,23854894,23861934,23865845,23872209,23873389,23895192,23901033,23906978,23915138,23937653,23969808,	23807240,23845279,23847587,23854788,23855017,23862024,23866463,23872345,23873495,23895362,23901164,23907104,23915195,23937758,23971649,
KCTD1	18	-	24034873	24220308	24034873,24039583,24056478,24081035,24209110,24220274,	24035865,24039889,24056623,24081214,24209201,24220308,
AQP4	18	-	24432001	24445782	24432001,24440735,24441094,24442145,24445621,	24436453,24440816,24441259,24442560,24445782,
CHST9	18	-	24486444	24765281	24486444,24524292,24604079,24628428,24722652,24765099,	24497314,24524330,24604121,24628467,24722869,24765281,
CDH2	18	-	25530929	25757410	25530929,25543320,25562907,25564963,25565491,25568487,25570060,25572618,25573463,25582960,25585812,25589680,25591809,25593646,25727636,25756926,	25532323,25543485,25563047,25565197,25565725,25568630,25570314,25572804,25573601,25583133,25585957,25589836,25591956,25593873,25727748,25757410,
DSC3	18	-	28569973	28622707	28569973,28576756,28581583,28584107,28586872,28587981,28588234,28598036,28598631,28602301,28604314,28605725,28609474,28610938,28612157,28622557,	28574338,28577014,28581705,28584332,28587097,28588124,28588491,28598222,28598766,28602468,28604459,28605881,28609594,28611138,28612242,28622707,
DSC2	18	-	28638805	28682378	28638805,28648859,28650691,28651570,28654648,28659812,28660061,28662203,28662891,28666538,28667631,28669401,28670990,28672063,28673521,28681865,	28648178,28649117,28650816,28651807,28654873,28659955,28660318,28662389,28663026,28666705,28667776,28669557,28671110,28672263,28673606,28682378,
DSC1	18	-	28709198	28742819	28709198,28711556,28712530,28713853,28714534,28719710,28720004,28721961,28723619,28725573,28728460,28734736,28736005,28737333,28739407,28742494,	28710674,28711805,28712652,28714093,28714747,28719853,28720264,28722147,28723754,28725740,28728605,28734892,28736125,28737536,28739492,28742819,
DSG1	18	+	28898051	28936992	28898051,28906543,28906836,28908151,28909854,28911663,28913551,28913979,28916316,28918277,28919706,28923412,28923888,28925952,28934259,	28898311,28906579,28906968,28908307,28909999,28911830,28913686,28914165,28916576,28918417,28919988,28923546,28923958,28926161,28936992,
DSG4	18	+	28956739	28993879	28956739,28965098,28966650,28968329,28968836,28970618,28971040,28972117,28979234,28980843,28983378,28986039,28989414,28989707,28991193,28992790,	28956922,28965134,28966782,28968485,28968981,28970785,28971175,28972303,28979506,28980983,28983597,28986336,28989554,28989771,28991411,28993879,
DSG3	18	+	29027757	29058665	29027757,29036402,29036955,29038407,29038995,29039807,29040795,29041189,29044073,29045280,29046492,29049051,29052246,29052687,29054083,29055608,	29027888,29036438,29037087,29038563,29039140,29039974,29040924,29041375,29044345,29045420,29046717,29049312,29052386,29052751,29054367,29058665,
DSG2	18	+	29078005	29128971	29078005,29098201,29099765,29100765,29101061,29102045,29104410,29104665,29110949,29115232,29116164,29118713,29121155,29122482,29125683,	29078259,29098237,29099900,29100927,29101206,29102212,29104548,29104851,29111215,29115375,29116392,29118941,29121277,29122815,29128971,
TTR	18	+	29171688	29178974	29171688,29172858,29175082,29178530,	29171934,29172989,29175218,29178974,
B4GALT6	18	-	29203131	29264686	29203131,29206245,29206961,29210921,29218606,29225317,29237938,29246218,29264274,	29205724,29206347,29207084,29211109,29218723,29225442,29238052,29246335,29264686,
SLC25A52	18	-	29339524	29340843	29339524,	29340843,
TRAPPC8	18	-	29409135	29523063	29409135,29412046,29419274,29426678,29429528,29432408,29432557,29433811,29435622,29437502,29444589,29446811,29447364,29450334,29450888,29453392,29454442,29470697,29477748,29480887,29487422,29488265,29488716,29489629,29493331,29496234,29497540,29511291,29522570,	29410952,29412136,29419420,29426780,29429702,29432467,29432626,29433908,29435770,29437945,29444744,29446938,29447439,29450465,29451083,29453501,29454667,29470829,29477854,29480988,29487573,29488381,29488973,29489723,29493485,29496409,29497630,29511486,29523063,
